month,year,date,well_number,depth_to_water,depth_to_water-neg,change
July,2011,7/1/11,11,70,-70,12.1
July,2012,7/1/12,11,75.1,-75.1,-5.1
July,2013,7/1/13,11,86.9,-86.9,-11.8
July,2014,7/1/14,11,90,-90,-3.1
June,2007,6/1/07,11,76.6,-76.6,NaN
June,2008,6/1/08,11,71.1,-71.1,5.5
June,2009,6/1/09,11,71.1,-71.1,0.0
June,2010,6/1/10,11,61.4,-61.4,9.7
June,2011,6/1/11,11,61.4,-61.4,0.0
June,2012,6/1/12,11,78.9,-78.9,-17.5
June,2013,6/1/13,11,79.9,-79.9,-1.0
June,2014,6/1/14,11,82.4,-82.4,-2.5
March,2007,3/1/07,11,37.9,-37.9,NaN
March,2008,3/1/08,11,30.8,-30.8,7.1
March,2009,3/1/09,11,28.6,-28.6,2.2
March,2010,3/1/10,11,31,-31,-2.4
March,2011,3/1/11,11,28.3,-28.3,2.7
March,2012,3/1/12,11,30.3,-30.3,-2.0
March,2013,3/1/13,11,37.9,-37.9,-7.6
March,2014,3/1/14,11,38.1,-38.1,-0.2
May,2007,5/1/07,11,59.1,-59.1,NaN
May,2008,5/1/08,11,62.9,-62.9,-3.8
May,2009,5/1/09,11,71.1,-71.1,-8.2
May,2010,5/1/10,11,47.1,-47.1,24.0
May,2011,5/1/11,11,47.4,-47.4,-0.3
May,2012,5/1/12,11,53.6,-53.6,-6.2
May,2013,5/1/13,11,87,-87,-33.4
May,2014,5/1/14,11,64,-64,23.0
November,2007,11/1/07,11,34.8,-34.8,NaN
November,2008,11/1/08,11,38.8,-38.8,-4.0
November,2009,11/1/09,11,42.1,-42.1,-3.3
November,2011,11/1/11,11,34.4,-34.4,7.7
November,2012,11/1/12,11,39,-39,-4.6
November,2013,11/1/13,11,55,-55,-16.0
October,2007,10/1/07,11,39.7,-39.7,NaN
October,2008,10/1/08,11,48.3,-48.3,-8.6
October,2009,10/1/09,11,49.3,-49.3,-1.0
October,2010,10/1/10,11,45.4,-45.4,3.9
October,2011,10/1/11,11,41.4,-41.4,4.0
October,2012,10/1/12,11,48,-48,-6.6
October,2013,10/1/13,11,51.3,-51.3,-3.3
September,2007,9/1/07,11,53.7,-53.7,NaN
September,2008,9/1/08,11,62.2,-62.2,-8.5
September,2009,9/1/09,11,69.1,-69.1,-6.9
September,2010,9/1/10,11,58,-58,11.1
September,2011,9/1/11,11,58.4,-58.4,-0.4
September,2012,9/1/12,11,60.4,-60.4,-2.0
September,2013,9/1/13,11,58.3,-58.3,2.1
April,2007,4/1/07,14,49.1,-49.1,NaN
April,2008,4/1/08,14,65,-65,-15.9
April,2009,4/1/09,14,57,-57,8.0
April,2010,4/1/10,14,37,-37,20.0
April,2011,4/1/11,14,34.3,-34.3,2.7
April,2012,4/1/12,14,35,-35,-0.7
April,2013,4/1/13,14,55.5,-55.5,-20.5
April,2014,4/1/14,14,46.2,-46.2,9.3
August,2008,8/1/08,14,84.1,-84.1,NaN
August,2009,8/1/09,14,90.6,-90.6,-6.5
August,2010,8/1/10,14,78.4,-78.4,12.2
December,2007,12/1/07,14,37.9,-37.9,NaN
December,2008,12/1/08,14,39.9,-39.9,-2.0
December,2009,12/1/09,14,43,-43,-3.1
December,2011,12/1/11,14,38.8,-38.8,4.2
December,2012,12/1/12,14,41.1,-41.1,-2.3
December,2013,12/1/13,14,43.3,-43.3,-2.2
February,2007,2/1/07,14,33.9,-33.9,NaN
February,2008,2/1/08,14,30.9,-30.9,3.0
February,2009,2/1/09,14,36.7,-36.7,-5.8
February,2010,2/1/10,14,38,-38,-1.3
February,2011,2/1/11,14,37.8,-37.8,0.2
February,2012,2/1/12,14,37.2,-37.2,0.6
February,2013,2/1/13,14,38.1,-38.1,-0.9
February,2014,2/1/14,14,49.5,-49.5,-11.4
January,2007,1/1/07,14,34.3,-34.3,NaN
January,2008,1/1/08,14,33.5,-33.5,0.8
January,2009,1/1/09,14,37.9,-37.9,-4.4
January,2010,1/1/10,14,41.3,-41.3,-3.4
January,2011,1/1/11,14,39.9,-39.9,1.4
January,2012,1/1/12,14,40.1,-40.1,-0.2
January,2013,1/1/13,14,39.5,-39.5,0.6
January,2014,1/1/14,14,59.6,-59.6,-20.1
July,2007,7/1/07,14,89.1,-89.1,NaN
July,2008,7/1/08,14,85.7,-85.7,3.4
July,2009,7/1/09,14,99,-99,-13.3
July,2010,7/1/10,14,82,-82,17.0
July,2011,7/1/11,14,80,-80,2.0
July,2014,7/1/14,14,94.4,-94.4,-14.4
June,2007,6/1/07,14,90.9,-90.9,NaN
June,2008,6/1/08,14,82,-82,8.9
June,2009,6/1/09,14,80.1,-80.1,1.9
June,2010,6/1/10,14,76.2,-76.2,3.9
June,2011,6/1/11,14,79.2,-79.2,-3.0
June,2013,6/1/13,14,92.9,-92.9,-13.7
June,2014,6/1/14,14,90,-90,2.9
March,2007,3/1/07,14,41.6,-41.6,NaN
March,2008,3/1/08,14,40,-40,1.6
March,2009,3/1/09,14,38.7,-38.7,1.3
March,2010,3/1/10,14,36.6,-36.6,2.1
March,2011,3/1/11,14,35.4,-35.4,1.2
March,2012,3/1/12,14,37.3,-37.3,-1.9
March,2013,3/1/13,14,45.6,-45.6,-8.3
March,2014,3/1/14,14,44.6,-44.6,1.0
May,2007,5/1/07,14,80.1,-80.1,NaN
May,2008,5/1/08,14,71.3,-71.3,8.8
May,2009,5/1/09,14,80.1,-80.1,-8.8
May,2010,5/1/10,14,58.9,-58.9,21.2
May,2011,5/1/11,14,54.9,-54.9,4.0
May,2012,5/1/12,14,65.1,-65.1,-10.2
May,2013,5/1/13,14,97.1,-97.1,-32.0
May,2014,5/1/14,14,71.7,-71.7,25.4
November,2007,11/1/07,14,41,-41,NaN
November,2008,11/1/08,14,46.5,-46.5,-5.5
November,2009,11/1/09,14,48.9,-48.9,-2.4
November,2011,11/1/11,14,41.6,-41.6,7.3
November,2012,11/1/12,14,47,-47,-5.4
November,2013,11/1/13,14,50,-50,-3.0
October,2007,10/1/07,14,47,-47,NaN
October,2008,10/1/08,14,58.8,-58.8,-11.8
October,2009,10/1/09,14,54.2,-54.2,4.6
October,2010,10/1/10,14,52,-52,2.2
October,2011,10/1/11,14,49.9,-49.9,2.1
October,2012,10/1/12,14,53.1,-53.1,-3.2
October,2013,10/1/13,14,61,-61,-7.9
September,2007,9/1/07,14,62.5,-62.5,NaN
September,2008,9/1/08,14,71.7,-71.7,-9.2
September,2009,9/1/09,14,75.7,-75.7,-4.0
September,2010,9/1/10,14,68.4,-68.4,7.3
September,2011,9/1/11,14,69.9,-69.9,-1.5
September,2013,9/1/13,14,61.2,-61.2,8.7
April,2007,4/1/07,15,68,-68,NaN
April,2008,4/1/08,15,71,-71,-3.0
April,2009,4/1/09,15,43.2,-43.2,27.8
April,2010,4/1/10,15,30.5,-30.5,12.7
April,2011,4/1/11,15,28.5,-28.5,2.0
April,2012,4/1/12,15,30,-30,-1.5
April,2013,4/1/13,15,46,-46,-16.0
April,2014,4/1/14,15,53.9,-53.9,-7.9
August,2007,8/1/07,15,103.1,-103.1,NaN
August,2008,8/1/08,15,97.4,-97.4,5.7
August,2009,8/1/09,15,94.4,-94.4,3.0
August,2010,8/1/10,15,90.7,-90.7,3.7
August,2011,8/1/11,15,87.1,-87.1,3.6
August,2012,8/1/12,15,91.4,-91.4,-4.3
August,2013,8/1/13,15,95.6,-95.6,-4.2
December,2007,12/1/07,15,33.7,-33.7,NaN
December,2008,12/1/08,15,35.1,-35.1,-1.4
December,2009,12/1/09,15,41,-41,-5.9
December,2011,12/1/11,15,35.9,-35.9,5.1
December,2012,12/1/12,15,36.3,-36.3,-0.4
December,2013,12/1/13,15,39.4,-39.4,-3.1
February,2007,2/1/07,15,34.1,-34.1,NaN
February,2008,2/1/08,15,26.9,-26.9,7.2
February,2009,2/1/09,15,32,-32,-5.1
February,2010,2/1/10,15,31.9,-31.9,0.1
February,2011,2/1/11,15,35,-35,-3.1
February,2012,2/1/12,15,35.9,-35.9,-0.9
February,2013,2/1/13,15,32.5,-32.5,3.4
February,2014,2/1/14,15,48.6,-48.6,-16.1
January,2007,1/1/07,15,31.7,-31.7,NaN
January,2008,1/1/08,15,29.1,-29.1,2.6
January,2009,1/1/09,15,32.8,-32.8,-3.7
January,2010,1/1/10,15,35.9,-35.9,-3.1
January,2011,1/1/11,15,36.5,-36.5,-0.6
January,2012,1/1/12,15,39.9,-39.9,-3.4
January,2013,1/1/13,15,33.6,-33.6,6.3
January,2014,1/1/14,15,63.8,-63.8,-30.2
July,2007,7/1/07,15,107,-107,NaN
July,2008,7/1/08,15,101,-101,6.0
July,2009,7/1/09,15,107,-107,-6.0
July,2010,7/1/10,15,89.5,-89.5,17.5
July,2011,7/1/11,15,90.2,-90.2,-0.7
July,2012,7/1/12,15,90.1,-90.1,0.1
July,2013,7/1/13,15,107.1,-107.1,-17.0
July,2014,7/1/14,15,117,-117,-9.9
June,2007,6/1/07,15,111.1,-111.1,NaN
June,2008,6/1/08,15,87.7,-87.7,23.4
June,2009,6/1/09,15,90.4,-90.4,-2.7
June,2010,6/1/10,15,78,-78,12.4
June,2011,6/1/11,15,76.1,-76.1,1.9
June,2012,6/1/12,15,85.6,-85.6,-9.5
June,2013,6/1/13,15,108.6,-108.6,-23.0
June,2014,6/1/14,15,109.2,-109.2,-0.6
March,2007,3/1/07,15,48.8,-48.8,NaN
March,2008,3/1/08,15,30.3,-30.3,18.5
March,2009,3/1/09,15,32,-32,-1.7
March,2010,3/1/10,15,30,-30,2.0
March,2011,3/1/11,15,32.7,-32.7,-2.7
March,2012,3/1/12,15,34.5,-34.5,-1.8
March,2013,3/1/13,15,40.4,-40.4,-5.9
March,2014,3/1/14,15,40.1,-40.1,0.3
May,2007,5/1/07,15,93.7,-93.7,NaN
May,2008,5/1/08,15,77,-77,16.7
May,2009,5/1/09,15,90.4,-90.4,-13.4
May,2010,5/1/10,15,52.9,-52.9,37.5
May,2011,5/1/11,15,60.9,-60.9,-8.0
May,2012,5/1/12,15,57.6,-57.6,3.3
May,2013,5/1/13,15,88.4,-88.4,-30.8
May,2014,5/1/14,15,88.6,-88.6,-0.2
November,2007,11/1/07,15,38,-38,NaN
November,2008,11/1/08,15,43.6,-43.6,-5.6
November,2009,11/1/09,15,44.2,-44.2,-0.6
November,2011,11/1/11,15,40.1,-40.1,4.1
November,2012,11/1/12,15,43.6,-43.6,-3.5
November,2013,11/1/13,15,47,-47,-3.4
October,2007,10/1/07,15,52,-52,NaN
October,2008,10/1/08,15,58.1,-58.1,-6.1
October,2009,10/1/09,15,55.1,-55.1,3.0
October,2010,10/1/10,15,54.9,-54.9,0.2
October,2011,10/1/11,15,49.5,-49.5,5.4
October,2012,10/1/12,15,53.5,-53.5,-4.0
October,2013,10/1/13,15,58.4,-58.4,-4.9
September,2007,9/1/07,15,81,-81,NaN
September,2008,9/1/08,15,81.3,-81.3,-0.3
September,2009,9/1/09,15,83.7,-83.7,-2.4
September,2010,9/1/10,15,75,-75,8.7
September,2011,9/1/11,15,77.7,-77.7,-2.7
September,2012,9/1/12,15,73.9,-73.9,3.8
September,2013,9/1/13,15,70.2,-70.2,3.7
April,2007,4/1/07,19,47.7,-47.7,NaN
April,2008,4/1/08,19,45.2,-45.2,2.5
April,2009,4/1/09,19,31.1,-31.1,14.1
April,2010,4/1/10,19,29.4,-29.4,1.7
April,2011,4/1/11,19,25,-25,4.4
April,2012,4/1/12,19,26.3,-26.3,-1.3
April,2013,4/1/13,19,38.3,-38.3,-12.0
April,2014,4/1/14,19,37.7,-37.7,0.6
August,2007,8/1/07,19,72.1,-72.1,NaN
August,2008,8/1/08,19,66,-66,6.1
August,2009,8/1/09,19,88.7,-88.7,-22.7
August,2010,8/1/10,19,76.3,-76.3,12.4
August,2011,8/1/11,19,62.6,-62.6,13.7
August,2012,8/1/12,19,70.1,-70.1,-7.5
August,2013,8/1/13,19,72.5,-72.5,-2.4
December,2007,12/1/07,19,30.1,-30.1,NaN
December,2008,12/1/08,19,31,-31,-0.9
December,2009,12/1/09,19,44.8,-44.8,-13.8
December,2011,12/1/11,19,32.5,-32.5,12.3
December,2012,12/1/12,19,45.8,-45.8,-13.3
December,2013,12/1/13,19,41.8,-41.8,4.0
February,2007,2/1/07,19,26.6,-26.6,NaN
February,2008,2/1/08,19,20.3,-20.3,6.3
February,2009,2/1/09,19,27.6,-27.6,-7.3
February,2010,2/1/10,19,34.2,-34.2,-6.6
February,2011,2/1/11,19,28.1,-28.1,6.1
February,2012,2/1/12,19,29.8,-29.8,-1.7
February,2013,2/1/13,19,28.6,-28.6,1.2
February,2014,2/1/14,19,44.7,-44.7,-16.1
January,2007,1/1/07,19,21.5,-21.5,NaN
January,2008,1/1/08,19,25.1,-25.1,-3.6
January,2009,1/1/09,19,29,-29,-3.9
January,2010,1/1/10,19,38.9,-38.9,-9.9
January,2011,1/1/11,19,31,-31,7.9
January,2012,1/1/12,19,32.8,-32.8,-1.8
January,2013,1/1/13,19,32.7,-32.7,0.1
January,2014,1/1/14,19,48.3,-48.3,-15.6
July,2007,7/1/07,19,74.3,-74.3,NaN
July,2008,7/1/08,19,68,-68,6.3
July,2009,7/1/09,19,84.9,-84.9,-16.9
July,2010,7/1/10,19,74.1,-74.1,10.8
July,2011,7/1/11,19,58.1,-58.1,16.0
July,2012,7/1/12,19,76.6,-76.6,-18.5
July,2013,7/1/13,19,73.7,-73.7,2.9
July,2014,7/1/14,19,95.4,-95.4,-21.7
June,2007,6/1/07,19,66,-66,NaN
June,2008,6/1/08,19,68.6,-68.6,-2.6
June,2009,6/1/09,19,47.5,-47.5,21.1
June,2010,6/1/10,19,74.7,-74.7,-27.2
June,2011,6/1/11,19,52,-52,22.7
June,2012,6/1/12,19,65.5,-65.5,-13.5
June,2013,6/1/13,19,63.5,-63.5,2.0
June,2014,6/1/14,19,77.3,-77.3,-13.8
March,2007,3/1/07,19,40.5,-40.5,NaN
March,2008,3/1/08,19,20.5,-20.5,20.0
March,2009,3/1/09,19,26,-26,-5.5
March,2010,3/1/10,19,30.7,-30.6667,-4.7
March,2011,3/1/11,19,28.5,-28.5,2.2
March,2012,3/1/12,19,28.4,-28.4,0.1
March,2013,3/1/13,19,32.8,-32.8,-4.4
March,2014,3/1/14,19,39.9,-39.9,-7.1
May,2007,5/1/07,19,63.4,-63.4,NaN
May,2008,5/1/08,19,56.2,-56.2,7.2
May,2009,5/1/09,19,47.5,-47.5,8.7
May,2010,5/1/10,19,58,-58,-10.5
May,2011,5/1/11,19,41.1,-41.1,16.9
May,2012,5/1/12,19,48.9,-48.9,-7.8
May,2013,5/1/13,19,52.7,-52.7,-3.8
May,2014,5/1/14,19,62.7,-62.7,-10.0
November,2007,11/1/07,19,50,-50,NaN
November,2008,11/1/08,19,32.7,-32.7,17.3
November,2009,11/1/09,19,46.1,-46.1,-13.4
November,2011,11/1/11,19,34.1,-34.1,12.0
November,2012,11/1/12,19,42.8,-42.8,-8.7
November,2013,11/1/13,19,45.8,-45.8,-3.0
October,2007,10/1/07,19,38,-38,NaN
October,2008,10/1/08,19,42.8,-42.8,-4.8
October,2009,10/1/09,19,55.4,-55.4,-12.6
October,2010,10/1/10,19,48.3,-48.3,7.1
October,2011,10/1/11,19,39.9,-39.9,8.4
October,2012,10/1/12,19,46.2,-46.2,-6.3
October,2013,10/1/13,19,51.1,-51.1,-4.9
September,2007,9/1/07,19,59.7,-59.7,NaN
September,2008,9/1/08,19,49.9,-49.9,9.8
September,2010,9/1/10,19,59.5,-59.5,-9.6
September,2011,9/1/11,19,54.8,-54.8,4.7
September,2012,9/1/12,19,62.6,-62.6,-7.8
September,2013,9/1/13,19,56.9,-56.9,5.7
April,2007,4/1/07,20,72.3,-72.3,NaN
April,2008,4/1/08,20,62.4,-62.4,9.9
April,2009,4/1/09,20,55.5,-55.5,6.9
April,2010,4/1/10,20,55.2,-55.2,0.3
April,2011,4/1/11,20,53.3,-53.3,1.9
April,2012,4/1/12,20,39.4,-39.4,13.9
April,2013,4/1/13,20,64.5,-64.5,-25.1
April,2014,4/1/14,20,63.2,-63.2,1.3
August,2007,8/1/07,20,80.5,-80.5,NaN
