month,year,date,well_number,depth_to_water,depth_to_water-neg,change
February,2007,2/1/07,21,23.1,-23.1,NaN
February,2008,2/1/08,21,25.7,-25.7,-2.6
February,2009,2/1/09,21,25.8,-25.8,-0.1
February,2010,2/1/10,21,29,-29,-3.2
February,2011,2/1/11,21,26.5,-26.5,2.5
February,2012,2/1/12,21,25.9,-25.9,0.6
February,2013,2/1/13,21,27.7,-27.7,-1.8
February,2014,2/1/14,21,35.5,-35.5,-7.8
January,2007,1/1/07,21,24.6,-24.6,NaN
January,2008,1/1/08,21,27.4,-27.4,-2.8
January,2009,1/1/09,21,28.8,-28.8,-1.4
January,2010,1/1/10,21,32.7,-32.7,-3.9
January,2011,1/1/11,21,29,-29,3.7
January,2012,1/1/12,21,29,-29,0.0
January,2013,1/1/13,21,27.5,-27.5,1.5
January,2014,1/1/14,21,47,-47,-19.5
July,2007,7/1/07,21,83.1,-83.1,NaN
July,2008,7/1/08,21,78.6,-78.6,4.5
July,2009,7/1/09,21,92,-92,-13.4
July,2010,7/1/10,21,79.7,-79.7,12.3
July,2011,7/1/11,21,80.8,-80.8,-1.1
July,2012,7/1/12,21,82.4,-82.4,-1.6
July,2013,7/1/13,21,82.5,-82.5,-0.1
July,2014,7/1/14,21,85.1,-85.1,-2.6
June,2007,6/1/07,21,78.5,-78.5,NaN
June,2008,6/1/08,21,74.1,-74.1,4.4
June,2010,6/1/10,21,67.4,-67.4,6.7
June,2011,6/1/11,21,71,-71,-3.6
June,2012,6/1/12,21,79.3,-79.3,-8.3
June,2013,6/1/13,21,88,-88,-8.7
June,2014,6/1/14,21,78,-78,10.0
March,2007,3/1/07,21,36.9,-36.9,NaN
March,2008,3/1/08,21,29,-29,7.9
March,2009,3/1/09,21,25.1,-25.1,3.9
March,2010,3/1/10,21,30.4,-30.4,-5.3
March,2011,3/1/11,21,25.6,-25.6,4.8
March,2012,3/1/12,21,26,-26,-0.4
March,2013,3/1/13,21,34.3,-34.3,-8.3
March,2014,3/1/14,21,33,-33,1.3
May,2007,5/1/07,21,79.5,-79.5,NaN
May,2008,5/1/08,21,64.2,-64.2,15.3
May,2010,5/1/10,21,56,-56,8.2
May,2011,5/1/11,21,50.5,-50.5,5.5
May,2012,5/1/12,21,56.4,-56.4,-5.9
May,2013,5/1/13,21,89.9,-89.9,-33.5
May,2014,5/1/14,21,66.4,-66.4,23.5
November,2007,11/1/07,21,34,-34,NaN
November,2008,11/1/08,21,34,-34,0.0
November,2009,11/1/09,21,37.5,-37.5,-3.5
November,2011,11/1/11,21,31.9,-31.9,5.6
November,2012,11/1/12,21,33.5,-33.5,-1.6
November,2013,11/1/13,21,38,-38,-4.5
October,2007,10/1/07,21,40.2,-40.2,NaN
October,2008,10/1/08,21,51.8,-51.8,-11.6
October,2009,10/1/09,21,46,-46,5.8
October,2010,10/1/10,21,42.6,-42.6,3.4
October,2011,10/1/11,21,41.8,-41.8,0.8
October,2012,10/1/12,21,40,-40,1.8
October,2013,10/1/13,21,48.8,-48.8,-8.8
September,2007,9/1/07,21,56.7,-56.7,NaN
September,2008,9/1/08,21,65,-65,-8.3
September,2009,9/1/09,21,62.8,-62.8,2.2
September,2010,9/1/10,21,60.9,-60.9,1.9
September,2011,9/1/11,21,62.4,-62.4,-1.5
September,2012,9/1/12,21,60,-60,2.4
September,2013,9/1/13,21,53,-53,7.0
April,2007,4/1/07,22,70.7,-70.7,NaN
April,2008,4/1/08,22,72.3,-72.3,-1.6
April,2009,4/1/09,22,47.1,-47.1,25.2
April,2010,4/1/10,22,32.8,-32.8,14.3
April,2011,4/1/11,22,43.2,-43.2,-10.4
April,2012,4/1/12,22,42.8,-42.8,0.4
April,2013,4/1/13,22,49.2,-49.2,-6.4
April,2014,4/1/14,22,56.9,-56.9,-7.7
August,2009,8/1/09,22,98.9,-98.9,NaN
August,2010,8/1/10,22,93.2,-93.2,5.7
August,2011,8/1/11,22,91,-91,2.2
August,2012,8/1/12,22,95,-95,-4.0
August,2013,8/1/13,22,100.3,-100.3,-5.3
December,2007,12/1/07,22,36.5,-36.5,NaN
December,2008,12/1/08,22,38.9,-38.9,-2.4
December,2009,12/1/09,22,42.1,-42.1,-3.2
December,2011,12/1/11,22,39.1,-39.1,3.0
December,2012,12/1/12,22,39.8,-39.8,-0.7
December,2013,12/1/13,22,42.7,-42.7,-2.9
February,2007,2/1/07,22,42.1,-42.1,NaN
February,2008,2/1/08,22,30.1,-30.1,12.0
February,2009,2/1/09,22,36,-36,-5.9
February,2010,2/1/10,22,35.3,-35.3,0.7
February,2011,2/1/11,22,44.87,-44.87,-9.6
February,2012,2/1/12,22,42.4,-42.4,2.5
February,2013,2/1/13,22,37,-37,5.4
February,2014,2/1/14,22,51.3,-51.3,-14.3
January,2007,1/1/07,22,42.3,-42.3,NaN
January,2008,1/1/08,22,32.4,-32.4,9.9
January,2009,1/1/09,22,36,-36,-3.6
January,2010,1/1/10,22,39.6,-39.6,-3.6
January,2011,1/1/11,22,51.8,-51.8,-12.2
January,2012,1/1/12,22,43.1,-43.1,8.7
January,2013,1/1/13,22,37,-37,6.1
January,2014,1/1/14,22,64.2,-64.2,-27.2
July,2008,7/1/08,22,103.7,-103.7,NaN
July,2009,7/1/09,22,110.2,-110.2,-6.5
July,2010,7/1/10,22,94.1,-94.1,16.1
July,2011,7/1/11,22,93.3,-93.3,0.8
July,2012,7/1/12,22,93,-93,0.3
July,2013,7/1/13,22,107,-107,-14.0
July,2014,7/1/14,22,113,-113,-6.0
June,2007,6/1/07,22,115.2,-115.2,NaN
June,2008,6/1/08,22,97.5,-97.5,17.7
June,2009,6/1/09,22,99.2,-99.2,-1.7
June,2010,6/1/10,22,89.2,-89.2,10.0
June,2011,6/1/11,22,81.4,-81.4,7.8
June,2012,6/1/12,22,89.2,-89.2,-7.8
June,2013,6/1/13,22,110.5,-110.5,-21.3
June,2014,6/1/14,22,106,-106,4.5
March,2007,3/1/07,22,51.1,-51.1,NaN
March,2008,3/1/08,22,34.6,-34.6,16.5
March,2009,3/1/09,22,35.4,-35.4,-0.8
March,2010,3/1/10,22,35.7,-35.683,-0.3
March,2011,3/1/11,22,40.1,-40.1,-4.4
March,2012,3/1/12,22,42.1,-42.1,-2.0
March,2013,3/1/13,22,49.1,-49.1,-7.0
March,2014,3/1/14,22,41,-41,8.1
May,2007,5/1/07,22,98.5,-98.5,NaN
May,2008,5/1/08,22,74.9,-74.9,23.6
May,2009,5/1/09,22,99.2,-99.2,-24.3
May,2010,5/1/10,22,63.4,-63.4,35.8
May,2011,5/1/11,22,64.9,-64.9,-1.5
May,2012,5/1/12,22,62.1,-62.1,2.8
May,2013,5/1/13,22,92,-92,-29.9
May,2014,5/1/14,22,88.6,-88.6,3.4
November,2007,11/1/07,22,41.5,-41.5,NaN
November,2008,11/1/08,22,47.2,-47.2,-5.7
November,2009,11/1/09,22,47.8,-47.8,-0.6
November,2011,11/1/11,22,41.2,-41.2,6.6
November,2012,11/1/12,22,46,-46,-4.8
November,2013,11/1/13,22,47,-47,-1.0
October,2007,10/1/07,22,56.4,-56.4,NaN
October,2008,10/1/08,22,62.8,-62.8,-6.4
October,2009,10/1/09,22,57.2,-57.2,5.6
October,2010,10/1/10,22,64.6,-64.6,-7.4
October,2011,10/1/11,22,53,-53,11.6
October,2012,10/1/12,22,56.6,-56.6,-3.6
October,2013,10/1/13,22,62.8,-62.8,-6.2
September,2007,9/1/07,22,84,-84,NaN
September,2008,9/1/08,22,84,-84,0.0
September,2009,9/1/09,22,82.9,-82.9,1.1
September,2010,9/1/10,22,77.9,-77.9,5.0
September,2011,9/1/11,22,82.4,-82.4,-4.5
September,2012,9/1/12,22,76.8,-76.8,5.6
September,2013,9/1/13,22,71.3,-71.3,5.5
April,2007,4/1/07,23,44.7,-44.7,NaN
April,2008,4/1/08,23,65,-65,-20.3
April,2009,4/1/09,23,56,-56,9.0
April,2010,4/1/10,23,37.1,-37.1,18.9
April,2011,4/1/11,23,33.6,-33.6,3.5
April,2012,4/1/12,23,38.3,-38.3,-4.7
April,2013,4/1/13,23,55,-55,-16.7
April,2014,4/1/14,23,45.4,-45.4,9.6
August,2007,8/1/07,23,82.7,-82.7,NaN
August,2008,8/1/08,23,87,-87,-4.3
August,2009,8/1/09,23,89.1,-89.1,-2.1
August,2010,8/1/10,23,78.5,-78.5,10.6
August,2012,8/1/12,23,83.8,-83.8,-5.3
December,2007,12/1/07,23,38,-38,NaN
December,2008,12/1/08,23,39.1,-39.1,-1.1
December,2009,12/1/09,23,43.4,-43.4,-4.3
December,2011,12/1/11,23,42.4,-42.4,1.0
December,2012,12/1/12,23,43.5,-43.5,-1.1
December,2013,12/1/13,23,45.3,-45.3,-1.8
February,2007,2/1/07,23,31.8,-31.8,NaN
February,2008,2/1/08,23,30.3,-30.3,1.5
February,2009,2/1/09,23,35.9,-35.9,-5.6
February,2010,2/1/10,23,38.1,-38.1,-2.2
February,2011,2/1/11,23,37.4,-37.4,0.7
February,2012,2/1/12,23,38.8,-38.8,-1.4
February,2013,2/1/13,23,41.1,-41.1,-2.3
February,2014,2/1/14,23,49,-49,-7.9
January,2007,1/1/07,23,33,-33,NaN
January,2008,1/1/08,23,33.4,-33.4,-0.4
January,2009,1/1/09,23,37.7,-37.7,-4.3
January,2010,1/1/10,23,42,-42,-4.3
January,2011,1/1/11,23,39.2,-39.2,2.8
January,2012,1/1/12,23,43.8,-43.8,-4.6
January,2013,1/1/13,23,40.3,-40.3,3.5
January,2014,1/1/14,23,56,-56,-15.7
July,2007,7/1/07,23,92.1,-92.1,NaN
July,2008,7/1/08,23,87.3,-87.3,4.8
July,2009,7/1/09,23,106.2,-106.2,-18.9
July,2010,7/1/10,23,98.3,-98.3,7.9
July,2012,7/1/12,23,86.1,-86.1,12.2
July,2013,7/1/13,23,97,-97,-10.9
July,2014,7/1/14,23,95,-95,2.0
June,2007,6/1/07,23,86,-86,NaN
June,2008,6/1/08,23,84.6,-84.6,1.4
June,2010,6/1/10,23,79.6,-79.6,5.0
June,2011,6/1/11,23,90.3,-90.3,-10.7
June,2012,6/1/12,23,90.3,-90.3,0.0
June,2013,6/1/13,23,91,-91,-0.7
June,2014,6/1/14,23,95.5,-95.5,-4.5
March,2007,3/1/07,23,38.3,-38.3,NaN
March,2008,3/1/08,23,45.6,-45.6,-7.3
March,2009,3/1/09,23,35,-35,10.6
March,2010,3/1/10,23,37.1,-37.05,-2.1
March,2011,3/1/11,23,32.6,-32.6,4.5
March,2012,3/1/12,23,38,-38,-5.4
March,2013,3/1/13,23,44.6,-44.6,-6.6
March,2014,3/1/14,23,45,-45,-0.4
May,2007,5/1/07,23,79.1,-79.1,NaN
May,2008,5/1/08,23,72.6,-72.6,6.5
May,2010,5/1/10,23,56.2,-56.2,16.4
May,2011,5/1/11,23,77,-77,-20.8
May,2013,5/1/13,23,95.1,-95.1,-18.1
November,2007,11/1/07,23,41.3,-41.3,NaN
November,2008,11/1/08,23,47.1,-47.1,-5.8
November,2009,11/1/09,23,49.8,-49.8,-2.7
November,2011,11/1/11,23,45.2,-45.2,4.6
November,2012,11/1/12,23,47.1,-47.1,-1.9
November,2013,11/1/13,23,51.5,-51.5,-4.4
October,2007,10/1/07,23,46,-46,NaN
October,2008,10/1/08,23,55.6,-55.6,-9.6
October,2009,10/1/09,23,55.6,-55.6,0.0
October,2010,10/1/10,23,52.1,-52.1,3.5
October,2011,10/1/11,23,50.2,-50.2,1.9
October,2012,10/1/12,23,57.3,-57.3,-7.1
October,2013,10/1/13,23,67.8,-67.8,-10.5
September,2007,9/1/07,23,60,-60,NaN
September,2008,9/1/08,23,75.5,-75.5,-15.5
September,2009,9/1/09,23,77.7,-77.7,-2.2
September,2010,9/1/10,23,66.9,-66.9,10.8
September,2012,9/1/12,23,71.5,-71.5,-4.6
September,2013,9/1/13,23,65.6,-65.6,5.9
April,2007,4/1/07,24,63.7,-63.7,NaN
April,2008,4/1/08,24,67.7,-67.7,-4.0
April,2009,4/1/09,24,51.8,-51.8,15.9
April,2010,4/1/10,24,37.4,-37.4,14.4
April,2011,4/1/11,24,39.7,-39.7,-2.3
April,2012,4/1/12,24,36.6,-36.6,3.1
April,2013,4/1/13,24,53,-53,-16.4
April,2014,4/1/14,24,52.3,-52.3,0.7
August,2007,8/1/07,24,82.3,-82.3,NaN
August,2008,8/1/08,24,91,-91,-8.7
August,2009,8/1/09,24,92.6,-92.6,-1.6
August,2010,8/1/10,24,91.2,-91.2,1.4
August,2011,8/1/11,24,91.4,-91.4,-0.2
August,2012,8/1/12,24,88.1,-88.1,3.3
August,2013,8/1/13,24,94.7,-94.7,-6.6
December,2007,12/1/07,24,38,-38,NaN
December,2008,12/1/08,24,43,-43,-5.0
December,2009,12/1/09,24,44,-44,-1.0
December,2011,12/1/11,24,40.4,-40.4,3.6
December,2012,12/1/12,24,41.2,-41.2,-0.8
December,2013,12/1/13,24,44.7,-44.7,-3.5
February,2007,2/1/07,24,35.5,-35.5,NaN
February,2008,2/1/08,24,31.3,-31.3,4.2
February,2009,2/1/09,24,37.9,-37.9,-6.6
February,2010,2/1/10,24,38.1,-38.1,-0.2
February,2011,2/1/11,24,42.3,-42.3,-4.2
February,2012,2/1/12,24,40.6,-40.6,1.7
February,2013,2/1/13,24,37.7,-37.7,2.9
February,2014,2/1/14,24,49.8,-49.8,-12.1
January,2007,1/1/07,24,38.6,-38.6,NaN
January,2008,1/1/08,24,33.9,-33.9,4.7
January,2009,1/1/09,24,38.2,-38.2,-4.3
January,2010,1/1/10,24,43.8,-43.8,-5.6
January,2011,1/1/11,24,43.7,-43.7,0.1
January,2012,1/1/12,24,44.5,-44.5,-0.8
January,2013,1/1/13,24,37.4,-37.4,7.1
January,2014,1/1/14,24,59.2,-59.2,-21.8
July,2007,7/1/07,24,89.9,-89.9,NaN
July,2008,7/1/08,24,86.8,-86.8,3.1
July,2009,7/1/09,24,101.9,-101.9,-15.1
July,2010,7/1/10,24,96.2,-96.2,5.7
July,2011,7/1/11,24,91.9,-91.9,4.3
July,2012,7/1/12,24,90,-90,1.9
July,2013,7/1/13,24,102.3,-102.3,-12.3
July,2014,7/1/14,24,97.7,-97.7,4.6
June,2007,6/1/07,24,99.2,-99.2,NaN
June,2008,6/1/08,24,87,-87,12.2
June,2009,6/1/09,24,96,-96,-9.0
June,2010,6/1/10,24,82.6,-82.6,13.4
June,2011,6/1/11,24,87.2,-87.2,-4.6
June,2012,6/1/12,24,93,-93,-5.8
June,2013,6/1/13,24,98.2,-98.2,-5.2
June,2014,6/1/14,24,93.2,-93.2,5.0
March,2007,3/1/07,24,41.4,-41.4,NaN
March,2008,3/1/08,24,38.5,-38.5,2.9
March,2009,3/1/09,24,39,-39,-0.5
March,2010,3/1/10,24,35.8,-35.8,3.2
March,2011,3/1/11,24,39.2,-39.2,-3.4
March,2012,3/1/12,24,40.8,-40.8,-1.6
March,2013,3/1/13,24,44.5,-44.5,-3.7
March,2014,3/1/14,24,45.8,-45.8,-1.3
May,2007,5/1/07,24,92.1,-92.1,NaN
May,2008,5/1/08,24,69,-69,23.1
May,2009,5/1/09,24,96,-96,-27.0
May,2010,5/1/10,24,62.2,-62.2,33.8
May,2011,5/1/11,24,61.7,-61.7,0.5
May,2012,5/1/12,24,67.4,-67.4,-5.7
May,2013,5/1/13,24,85.6,-85.6,-18.2
May,2014,5/1/14,24,73,-73,12.6
November,2007,11/1/07,24,42.9,-42.9,NaN
November,2008,11/1/08,24,49.7,-49.7,-6.8
November,2009,11/1/09,24,52.2,-52.2,-2.5
November,2011,11/1/11,24,45.3,-45.3,6.9
November,2012,11/1/12,24,49.4,-49.4,-4.1
November,2013,11/1/13,24,51.4,-51.4,-2.0
October,2007,10/1/07,24,57,-57,NaN
October,2008,10/1/08,24,61.8,-61.8,-4.8
October,2009,10/1/09,24,56.1,-56.1,5.7
October,2010,10/1/10,24,60.4,-60.4,-4.3
October,2011,10/1/11,24,59.8,-59.8,0.6
October,2012,10/1/12,24,57,-57,2.8
October,2013,10/1/13,24,64.8,-64.8,-7.8
September,2007,9/1/07,24,74.9,-74.9,NaN
September,2008,9/1/08,24,74.5,-74.5,0.4
September,2009,9/1/09,24,84.4,-84.4,-9.9
September,2010,9/1/10,24,79.6,-79.6,4.8
September,2011,9/1/11,24,82.8,-82.8,-3.2
September,2012,9/1/12,24,82,-82,0.8
September,2013,9/1/13,24,68.3,-68.3,13.7
April,2007,4/1/07,25,63.7,-63.7,NaN
April,2008,4/1/08,25,54.3,-54.3,9.4
April,2009,4/1/09,25,63.1,-63.1,-8.8
April,2010,4/1/10,25,50,-50,13.1
April,2011,4/1/11,25,71.3,-71.3,-21.3
April,2012,4/1/12,25,40.3,-40.3,31.0
April,2013,4/1/13,25,66.1,-66.1,-25.8
April,2014,4/1/14,25,75.5,-75.54,-9.4
August,2007,8/1/07,25,76.7,-76.7,NaN
August,2009,8/1/09,25,92.3,-92.3,-15.6
August,2010,8/1/10,25,74.2,-74.2,18.1
August,2011,8/1/11,25,80.5,-80.5,-6.3
August,2012,8/1/12,25,76.8,-76.8,3.7
August,2013,8/1/13,25,84.7,-84.7,-7.9
December,2007,12/1/07,25,49.5,-49.5,NaN
December,2008,12/1/08,25,49.5,-49.5,0.0
December,2009,12/1/09,25,51.7,-51.7,-2.2
December,2011,12/1/11,25,43.4,-43.4,8.3
December,2012,12/1/12,25,52.3,-52.3,-8.9
December,2013,12/1/13,25,73.7,-73.7,-21.4
February,2007,2/1/07,25,49.4,-49.4,NaN
February,2008,2/1/08,25,29,-29,20.4
February,2009,2/1/09,25,52.4,-52.4,-23.4
February,2010,2/1/10,25,52.2,-52.2,0.2
February,2011,2/1/11,25,39,-39,13.2
February,2012,2/1/12,25,42.5,-42.5,-3.5
February,2013,2/1/13,25,46.2,-46.2,-3.7
February,2014,2/1/14,25,62.2,-62.2,-16.0
January,2007,1/1/07,25,51.4,-51.4,NaN
January,2008,1/1/08,25,37.3,-37.3,14.1
January,2010,1/1/10,25,55.5,-55.5,-18.2
January,2011,1/1/11,25,41.3,-41.3,14.2
January,2012,1/1/12,25,47,-47,-5.7
January,2013,1/1/13,25,46.8,-46.8,0.2
January,2014,1/1/14,25,67.3,-67.3,-20.5
July,2007,7/1/07,25,86.8,-86.8,NaN
July,2008,7/1/08,25,81.2,-81.2,5.6
July,2009,7/1/09,25,95.4,-95.4,-14.2
July,2010,7/1/10,25,85.2,-85.2,10.2
July,2011,7/1/11,25,67.3,-67.3,17.9
July,2012,7/1/12,25,69.8,-69.8,-2.5
July,2013,7/1/13,25,91.8,-91.8,-22.0
July,2014,7/1/14,25,99.9,-99.9,-8.1
June,2007,6/1/07,25,73.3,-73.3,NaN
June,2008,6/1/08,25,86,-86,-12.7
June,2009,6/1/09,25,65.2,-65.2,20.8
June,2010,6/1/10,25,72.7,-72.7,-7.5
June,2011,6/1/11,25,93.7,-93.7,-21.0
June,2012,6/1/12,25,60,-60,33.7
June,2013,6/1/13,25,74.1,-74.1,-14.1
June,2014,6/1/14,25,106.2,-106.2,-32.1
March,2007,3/1/07,25,50.5,-50.5,NaN
March,2008,3/1/08,25,39,-39,11.5
March,2009,3/1/09,25,41.1,-41.1,-2.1
March,2010,3/1/10,25,58.4,-58.4,-17.3
March,2011,3/1/11,25,41.2,-41.2,17.2
March,2012,3/1/12,25,45.7,-45.7,-4.5
March,2013,3/1/13,25,58.4,-58.4,-12.7
March,2014,3/1/14,25,68.4,-68.4,-10.0
May,2007,5/1/07,25,67.2,-67.2,NaN
May,2008,5/1/08,25,58.9,-58.9,8.3
May,2009,5/1/09,25,65.2,-65.2,-6.3
May,2010,5/1/10,25,75.4,-75.4,-10.2
May,2011,5/1/11,25,82.5,-82.5,-7.1
May,2012,5/1/12,25,52.6,-52.6,29.9
May,2013,5/1/13,25,81.5,-81.5,-28.9
May,2014,5/1/14,25,96.5,-96.5,-15.0
November,2007,11/1/07,25,52.5,-52.5,NaN
November,2008,11/1/08,25,45.8,-45.8,6.7
November,2009,11/1/09,25,60,-60,-14.2
November,2011,11/1/11,25,52.2,-52.2,7.8
November,2012,11/1/12,25,53,-53,-0.8
November,2013,11/1/13,25,81.2,-81.2,-28.2
October,2007,10/1/07,25,56.5,-56.5,NaN
October,2008,10/1/08,25,66.2,-66.2,-9.7
October,2009,10/1/09,25,67.7,-67.7,-1.5
October,2010,10/1/10,25,59.3,-59.3,8.4
October,2011,10/1/11,25,47.3,-47.3,12.0
October,2012,10/1/12,25,62.2,-62.2,-14.9
October,2013,10/1/13,25,88.4,-88.4,-26.2
September,2007,9/1/07,25,69.3,-69.3,NaN
September,2008,9/1/08,25,75.7,-75.7,-6.4
September,2009,9/1/09,25,86.7,-86.7,-11.0
September,2010,9/1/10,25,67.2,-67.2,19.5
September,2011,9/1/11,25,96.6,-96.6,-29.4
September,2012,9/1/12,25,76.5,-76.5,20.1
September,2013,9/1/13,25,80.6,-80.6,-4.1
April,2007,4/1/07,26,55.9,-55.9,NaN
April,2008,4/1/08,26,62.1,-62.1,-6.2
April,2009,4/1/09,26,48,-48,14.1
April,2010,4/1/10,26,30.2,-30.2,17.8
April,2011,4/1/11,26,30.7,-30.7,-0.5
April,2012,4/1/12,26,30.4,-30.4,0.3
April,2013,4/1/13,26,48.4,-48.4,-18.0
April,2014,4/1/14,26,47.4,-47.4,1.0
August,2007,8/1/07,26,85,-85,NaN
August,2008,8/1/08,26,86,-86,-1.0
August,2009,8/1/09,26,87.1,-87.1,-1.1
August,2010,8/1/10,26,82.7,-82.7,4.4
August,2011,8/1/11,26,80.4,-80.4,2.3
August,2012,8/1/12,26,81.4,-81.4,-1.0
August,2013,8/1/13,26,86.4,-86.4,-5.0
December,2007,12/1/07,26,33.9,-33.9,NaN
December,2008,12/1/08,26,36,-36,-2.1
December,2009,12/1/09,26,38.5,-38.5,-2.5
December,2011,12/1/11,26,34.4,-34.4,4.1
December,2012,12/1/12,26,35.4,-35.4,-1.0
December,2013,12/1/13,26,39.4,-39.4,-4.0
February,2007,2/1/07,26,31.7,-31.7,NaN
February,2008,2/1/08,26,28,-28,3.7
February,2009,2/1/09,26,34.1,-34.1,-6.1
February,2010,2/1/10,26,32.6,-32.6,1.5
February,2011,2/1/11,26,36.5,-36.5,-3.9
February,2012,2/1/12,26,32.8,-32.8,3.7
February,2013,2/1/13,26,32.6,-32.6,0.2
February,2014,2/1/14,26,45.2,-45.2,-12.6
January,2007,1/1/07,26,30.5,-30.5,NaN
January,2008,1/1/08,26,30,-30,0.5
January,2009,1/1/09,26,33.6,-33.6,-3.6
January,2010,1/1/10,26,37.5,-37.5,-3.9
January,2011,1/1/11,26,38.3,-38.3,-0.8
January,2012,1/1/12,26,38,-38,0.3
January,2013,1/1/13,26,31.4,-31.4,6.6
January,2014,1/1/14,26,59.5,-59.5,-28.1
July,2007,7/1/07,26,93.1,-93.1,NaN
July,2008,7/1/08,26,88.8,-88.8,4.3
July,2009,7/1/09,26,97.4,-97.4,-8.6
July,2010,7/1/10,26,85.3,-85.3,12.1
July,2011,7/1/11,26,84.6,-84.6,0.7
July,2012,7/1/12,26,86.2,-86.2,-1.6
July,2013,7/1/13,26,98.3,-98.3,-12.1
July,2014,7/1/14,26,98.1,-98.1,0.2
June,2007,6/1/07,26,95.9,-95.9,NaN
June,2008,6/1/08,26,84,-84,11.9
June,2009,6/1/09,26,86,-86,-2.0
June,2010,6/1/10,26,77.8,-77.8,8.2
June,2011,6/1/11,26,76,-76,1.8
June,2012,6/1/12,26,85.6,-85.6,-9.6
June,2013,6/1/13,26,95.6,-95.6,-10.0
June,2014,6/1/14,26,94.2,-94.2,1.4
March,2007,3/1/07,26,40.9,-40.9,NaN
March,2008,3/1/08,26,33,-33,7.9
March,2009,3/1/09,26,32.5,-32.5,0.5
March,2010,3/1/10,26,30,-30.033,2.5
March,2011,3/1/11,26,41.2,-41.2,-11.2
March,2012,3/1/12,26,33.6,-33.6,7.6
March,2013,3/1/13,26,39.7,-39.7,-6.1
March,2014,3/1/14,26,40.1,-40.1,-0.4
May,2007,5/1/07,26,87.4,-87.4,NaN
May,2008,5/1/08,26,66.7,-66.7,20.7
May,2009,5/1/09,26,86,-86,-19.3
May,2010,5/1/10,26,55.2,-55.2,30.8
May,2011,5/1/11,26,57,-57,-1.8
May,2012,5/1/12,26,61.6,-61.6,-4.6
May,2013,5/1/13,26,80.2,-80.2,-18.6
May,2014,5/1/14,26,75,-75,5.2
November,2007,11/1/07,26,37.6,-37.6,NaN
November,2008,11/1/08,26,42.4,-42.4,-4.8
November,2009,11/1/09,26,44.5,-44.5,-2.1
November,2011,11/1/11,26,37.8,-37.8,6.7
November,2012,11/1/12,26,41.6,-41.6,-3.8
November,2013,11/1/13,26,46,-46,-4.4
October,2007,10/1/07,26,47.7,-47.7,NaN
October,2008,10/1/08,26,58.8,-58.8,-11.1
October,2009,10/1/09,26,51.4,-51.4,7.4
October,2010,10/1/10,26,54.2,-54.2,-2.8
October,2011,10/1/11,26,49.8,-49.8,4.4
October,2012,10/1/12,26,50.1,-50.1,-0.3
October,2013,10/1/13,26,58.8,-58.8,-8.7
September,2007,9/1/07,26,68.4,-68.4,NaN
September,2008,9/1/08,26,72.8,-72.8,-4.4
September,2009,9/1/09,26,76.2,-76.2,-3.4
September,2010,9/1/10,26,71,-71,5.2
September,2011,9/1/11,26,70.6,-70.6,0.4
September,2012,9/1/12,26,70.2,-70.2,0.4
September,2013,9/1/13,26,63.2,-63.2,7.0
April,2007,4/1/07,27,40.2,-40.2,NaN
April,2008,4/1/08,27,63.1,-63.1,-22.9
April,2009,4/1/09,27,43.5,-43.5,19.6
April,2010,4/1/10,27,44,-44,-0.5
April,2011,4/1/11,27,38.2,-38.2,5.8
April,2012,4/1/12,27,25.5,-25.5,12.7
April,2013,4/1/13,27,52.6,-52.6,-27.1
April,2014,4/1/14,27,49,-49,3.6
August,2007,8/1/07,27,73.1,-73.1,NaN
August,2008,8/1/08,27,60.2,-60.2,12.9
August,2009,8/1/09,27,83.4,-83.4,-23.2
August,2010,8/1/10,27,82.2,-82.2,1.2
August,2011,8/1/11,27,74.4,-74.4,7.8
August,2012,8/1/12,27,77.6,-77.6,-3.2
August,2013,8/1/13,27,90.3,-90.3,-12.7
December,2007,12/1/07,27,31,-31,NaN
December,2008,12/1/08,27,31.7,-31.7,-0.7
December,2009,12/1/09,27,51,-51,-19.3
December,2011,12/1/11,27,63.5,-63.5,-12.5
December,2012,12/1/12,27,41,-41,22.5
December,2013,12/1/13,27,47.2,-47.2,-6.2
February,2007,2/1/07,27,24.5,-24.5,NaN
February,2008,2/1/08,27,20.6,-20.6,3.9
February,2009,2/1/09,27,31.9,-31.9,-11.3
February,2010,2/1/10,27,46.2,-46.2,-14.3
February,2011,2/1/11,27,56.1,-56.1,-9.9
February,2012,2/1/12,27,37.6,-37.6,18.5
February,2013,2/1/13,27,36.6,-36.6,1.0
February,2014,2/1/14,27,50.5,-50.5,-13.9
January,2007,1/1/07,27,27.7,-27.7,NaN
January,2008,1/1/08,27,26.1,-26.1,1.6
January,2009,1/1/09,27,31.9,-31.9,-5.8
January,2010,1/1/10,27,52,-52,-20.1
January,2011,1/1/11,27,62.2,-62.2,-10.2
January,2012,1/1/12,27,37.7,-37.7,24.5
January,2013,1/1/13,27,45.8,-45.8,-8.1
January,2014,1/1/14,27,73.6,-73.6,-27.8
July,2007,7/1/07,27,63.6,-63.6,NaN
July,2008,7/1/08,27,65.5,-65.5,-1.9
July,2009,7/1/09,27,79.1,-79.1,-13.6
July,2010,7/1/10,27,86,-86,-6.9
July,2011,7/1/11,27,71,-71,15.0
July,2012,7/1/12,27,82.9,-82.9,-11.9
July,2013,7/1/13,27,85.8,-85.8,-2.9
July,2014,7/1/14,27,103,-103,-17.2
